lapso_doc|id_item|id_ext_itm|id_referencia|descripcion|unimed_inv_1|can_exis_fin|vlr_cost_fin
201111|002390|   |REP1085        |RETENEDOR BOMBA P-50 COMPACTACION DOBLE |UND|4.0000|229230.780000000000
201111|002392|   |TOR384         |REMACHES 5/32 X 1/2                     |UND|0.0000|0.00000000000000000000
201111|002393|   |TOR355         |TORNILLO 6X20                           |UND|0.0000|0.00000000000000000000
201111|002394|   |TOR356         |TORNILLO 3/16 X 1/2                     |UND|100.0000|9280.0000000000000000
201111|002398|   |TOR357         |JUEGO DE BROCAS 1/16-1/2                |PAQ|0.0000|0.00000000000000000000
201111|002399|   |TOR358         |LLAVE MANDRIL  DE 5/8                   |UND|0.0000|0.00000000000000000000
201111|002400|   |TOR359         |LLAVE MIXTA 1.1/2                       |UND|0.0000|0.00000000000000000000
201111|002401|   |TOR360         |LLAVE DE TUBO DE 12                     |UND|0.0000|0.00000000000000000000
201111|002402|   |TOR361         |RATCHE DE 1/2 X 10                      |UND|1.0000|37120.000000000000
201111|002403|   |REP1087        |RADIADOR KODIAK TANDEN EN ALUMINIO      |UND|0.0000|0.00000000000000000000
201111|002404|   |TOR362         |GRASERA ACODADA 3/16 X 90               |UND|0.0000|0.00000000000000000000
201111|002405|   |TOR363         |GRASERA RECTA  3/16                     |UND|0.0000|0.00000000000000000000
201111|002406|   |ELE225         |TOMA CORRIENTE 220 TRIFASICO            |UND|0.0000|0.00000000000000000000
201111|002407|   |PIN101         |POLIURETANO AZUL ENTONADOR              |GAL|0.0000|0.00000000000000000000
201111|002408|   |REP1088        |MANGUERA DE AIRE ACOPLADA               |UND|0.0000|0.00000000000000000000
201111|002410|   |PIN102         |POLIURETANO NEGRO                       |GAL|0.0000|0.00000000000000000000
201111|002411|   |PIN103         |EMPAQUES PISTOLA DE BAJA                |UND|0.0000|0.00000000000000000000
201111|002412|   |PIN104         |SICAFLEX 221                            |UND|0.0000|0.00000000000000000000
201111|002413|   |TOR364         |TAPON MACHO 2 X 150                     |UND|0.0000|0.00000000000000000000
201111|002414|   |LLN118         |COPA 1.1/2 CUADRANTE 3/4                |UND|2.0000|141404.000000000000
201111|002415|   |SOL369         |PLATINA 1/2  X 3/16 X 6MT               |UND|0.0000|0.00000000000000000000
201111|002416|   |PAD171         |VINILO ADHESIVO 8 YARDAS BUREAU VERITAS |UND|4.0000|64960.000000000000
201111|002417|   |PAD178         |VINILO ADHESIVO 16 YARDAS BUREAU VERITAS|UND|6.0000|104400.000000000000
201111|002418|   |PAD173         |VINILO ADHESIVO 25YARDAS BUREAU VERITAS |UND|5.0000|145000.000000000000
201111|002419|   |PAD174         |VINILO ADHESIVO VOLQUETAS BUREAU VERITAS|UND|6.0000|97440.000000000000
