"Nombre Rutina";"sistema";"Grupo (Arbol Equipos)";"Lugar";"Frecuencia";"Frecuencia Horas ";"Frecuencia Kms ";"No. de frecuencias a cumplir";"Tiempo de Ejecución en minutos";"Tipo de Manto";"Prioridad";"Orden Actividad";"Nombre Actividad";"Descripción";"Tiempo actividad en minutos";"Cargo";"Tiempo"
"Caja Compactadora 5";6;107;"Interno";"Anual";"5.000 ";"50.000 ";;;"Preventivo";"Alta";5;"CAM-RES-CAJ";"Cambio resortes caja";45;19;45
"Lubricación Motor cam 1";1;112;"Interno";"Mensual";;"5.000 ";2;35;"Preventivo";"Alta";1;"CAM-FIL-ACE";"Cambio filtro Aceite";10;14;10
;1;112;;;;;;;"Preventivo";;2;"CAM-ACE-MOT";"Cambio Aceite Motor";15;14;15
;1;112;;;;;;;"Preventivo";;3;"CAM-FIL-COM";"Cambio filtro combustible";10;14;10
;1;112;;;;;;;"Preventivo";;4;"CAM-FIL-SEP";"Cambio filtro separador";10;14;10
;1;112;;;;;;;"Preventivo";;5;"CAM-FIL-AIR";"Cambio filtro aire";10;14;10
"Lubricación Motor cam 2";1;112;"Interno";"Mensual";;"10.000 ";;;"Preventivo";"Alta";6;"COM-RUI";"Comprobacion de ruidos";15;12;15
"Sincronizacion Motor cam 1";1;112;"Externo";"Anual";;"100.000 ";;105;"Preventivo";"Baja";1;"CAL-VAL";"Calibracion de valvulas";;;
"Sincronizacion Motor cam2";1;112;"Interno";"Anual";;"83.200 ";;;"Preventivo";"Baja";2;"CAM-BAN-MOT";"Cambio bandas motor";30;12;30
;1;112;;"Anual";;"83.200 ";;;"Preventivo";"Baja";3;"APR-TOR-MOT";"Apriete par tornillo motor";60;12;60
;1;112;;;;;;;;;;"INS-MAN-SIST.INY";"Inspeccion mangueras sist.inyeccion";15;12;15
"Refrigeracion cam 1";1;112;"Interno";"Mensual";;"10.000 ";;50;"Preventivo";"Alta";1;"INS-SIST-ENFR";"Inspeccionar sistema enfriamento";15;12;15
;1;112;;"Mensual";;"10.000 ";;;"Preventivo";"Alta";3;"INS-SIST-ESC";"Inspeccion sistema escape";15;12;15
"Refrigeracion cam2";1;112;"Interno";"Anual";;"40.000 ";;;"Preventivo";"Baja";2;"CAM-REFR";"Cambio refrigerante";20;12;20
"Sistema freno cam1";9;112;"Interno";"Mensual";;"10.000 ";;180;"Preventivo";"Alta";1;"INS-BAN-FRE";"Inspeccion bandas frenos";15;12;15
"Sistema freno cam2";9;112;"Interno";"Anual";;"40.000 ";;;"Preventivo";"Baja";2;"INS-DIS-FRE";"Inspeccion disco freno";15;12;15
;9;112;;"Anual";;"40.000 ";;;"Preventivo";"Baja";3;"INS-SEN-MAN-FRE";"Inspeccion sensor manguera freno";15;12;15
;9;112;;"Anual";;"40.000 ";;;"Preventivo";"Baja";6;"CAM-BAN-FRE";"Cambio de bandas freno";60;12;60
"Sistema freno cam3";9;112;;"Anual";;"50.000 ";;;"Preventivo";"Baja";4;"CAM-LIQ-FRE";"Cambio liquido freno";15;12;15
"Sistema freno cam4";9;112;;"Anual";;"80.000 ";;;"Preventivo";"Baja";5;"CAM-DIS-FRE";"Cambio de disco freno";60;12;60
"Sistema embrague";3;112;"Interno";"Anual";;"40.000 ";;285;"Preventivo";"Baja";1;"TEN-EMB";"Tensionar embrague";20;12;20
;3;112;;"Anual";;"40.000 ";;;"Preventivo";"Baja";3;"CAM-ACE-TRANS";"Cambio aceite transmision";40;12;40
;3;112;;"Anual";;"40.000 ";;;"Preventivo";"Baja";4;"CAM-ACE-DIFR";"Cambio aceite diferencial";15;12;15
"Sistema embrague 2";3;112;;"Anual";;"80.000 ";;;"Preventivo";"Baja";2;"CAM-EMB";"Cambio de embrague";180;12;180
"Sistema embrague 3";3;112;;"Mensual";;"20.000 ";;;"Preventivo";"Alta";5;"APR-TOR-TRANS";"Apriete tornillos transmision";30;12;30
"Sistema de suspension";13;112;"Interno";"Anual";;"50.000 ";;210;"Preventivo";"Baja";1;"CAM-ACE-DIR";"Cambio de aceite direccion";15;14;15
;13;112;;"Anual";;"50.000 ";;;"Preventivo";"Baja";7;"ENG-ROD-RUE";"Engrase rodamiento ruedas";30;12;30
"Sistema de suspension 2";13;112;;"Anual";;"40.000 ";;;"Preventivo";"Baja";2;"APR-TOR-DIR";"Apriete tornillos direccion";30;14;30
